wordpress_id,old_url,new_url,title,source_guid
30,https://diff.im/blog/?p=30,/blog/2007/11/靠信心生活/,靠信心生活,http://www.wangwangwang.org/blog/?p=30
691,https://diff.im/blog/?p=691,/blog/2007/11/离开了/,离开了,http://www.wangwangwang.org/blog/?p=27
41,https://diff.im/blog/?p=41,/blog/2008/01/stay-hungry-stay-foolish/,Stay hungry stay foolish,http://www.wangwangwang.org/blog/?p=41
57,https://diff.im/blog/?p=57,/blog/2008/03/靠主知足常乐/,靠主知足常乐,http://www.wangwangwang.org/blog/?p=57
70,https://diff.im/blog/?p=70,/blog/2008/04/想到了就要去做/,想到了就要去做,http://www.wangwangwang.org/i/?p=70
71,https://diff.im/blog/?p=71,/blog/2008/04/受洗/,受洗,http://www.wangwangwang.org/i/?p=71
89,https://diff.im/blog/?p=89,/blog/2008/06/大雨/,大雨,http://www.wangwangwang.org/i/?p=89
694,https://diff.im/blog/?p=694,/blog/2007/12/理想/,理想,http://www.wangwangwang.org/blog/?p=31
696,https://diff.im/blog/?p=696,/blog/2008/01/关于简单/,关于简单,http://www.wangwangwang.org/blog/?p=40
698,https://diff.im/blog/?p=698,/blog/2008/01/2007/,2007,http://www.wangwangwang.org/blog/?p=44
699,https://diff.im/blog/?p=699,/blog/2008/01/杭州雪/,杭州雪,http://www.wangwangwang.org/blog/?p=46
700,https://diff.im/blog/?p=700,/blog/2008/02/08春节/,08春节,http://www.wangwangwang.org/blog/?p=47
703,https://diff.im/blog/?p=703,/blog/2008/03/就让我残忍一次/,就让我残忍一次,http://www.wangwangwang.org/blog/?p=56
705,https://diff.im/blog/?p=705,/blog/2008/03/植物园松鼠树还有以前画的怪物/,植物园松鼠树还有以前画的怪物,http://www.wangwangwang.org/i/?p=61
707,https://diff.im/blog/?p=707,/blog/2008/03/青芝坞论坛/,青芝坞论坛,http://www.wangwangwang.org/i/?p=65
710,https://diff.im/blog/?p=710,/blog/2008/04/祷告与生活/,祷告与生活,http://www.wangwangwang.org/i/?p=72
712,https://diff.im/blog/?p=712,/blog/2008/04/杭州植物园/,杭州植物园,http://www.wangwangwang.org/i/?p=78
713,https://diff.im/blog/?p=713,/blog/2008/05/一些原则/,一些原则,http://www.wangwangwang.org/i/?p=79
714,https://diff.im/blog/?p=714,/blog/2008/05/还是信仰/,还是信仰,http://www.wangwangwang.org/i/?p=84
715,https://diff.im/blog/?p=715,/blog/2008/05/梦0531/,梦0531,http://www.wangwangwang.org/i/?p=85
716,https://diff.im/blog/?p=716,/blog/2008/05/夜骑西湖0529/,夜骑西湖0529,http://www.wangwangwang.org/i/?p=86
717,https://diff.im/blog/?p=717,/blog/2008/06/我受伤了但.../,"我受伤了,但...",http://www.wangwangwang.org/i/?p=88
90,https://diff.im/blog/?p=90,/blog/2008/06/求你指教我们怎样数算自己的日子好叫我们得着智慧的心/,求你指教我们怎样数算自己的日子，好叫我们得着智慧的心,http://www.wangwangwang.org/i/?p=90
131,https://diff.im/blog/?p=131,/blog/2009/01/我的利百加/,我的利百加,http://www.wangwangwang.org/i/?p=131
132,https://diff.im/blog/?p=132,/blog/2009/01/关于婚礼/,关于婚礼,http://www.wangwangwang.org/i/?p=132
135,https://diff.im/blog/?p=135,/blog/2009/01/新年记事/,新年记事,http://www.wangwangwang.org/i/?p=135
157,https://diff.im/blog/?p=157,/blog/2009/02/姑娘/,姑娘,http://www.wangwangwang.org/i/?p=157
184,https://diff.im/blog/?p=184,/blog/2009/03/结婚啦/,结婚啦！,http://www.wangwangwang.org/i/?p=184
216,https://diff.im/blog/?p=216,/blog/2009/04/4月18号杭州婚礼/,4月18号杭州婚礼,http://www.wangwangwang.org/i/?p=216
